diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/corrCovTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_1000_1_pseudodataSB/fitDiagnosticsTest.root, at 2021-11-02 09:34:42.710183 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': 'plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

name                                              b-only fit            s+b fit         rho  approx impact
syst2018_pileupReweight                          -0.03, 0.99        -0.00, 1.00       +0.01      +0.003
syst2018_ZpTreweight                             -0.01, 1.00        -0.00, 1.00       +0.01      +0.001
syst2018_JER                                     -0.08, 0.87     * -0.00, 0.98*       +0.01      +0.003
syst2017_tauES                                   -0.02, 0.96        -0.00, 0.97       -0.01      -0.002
syst2017_JER                                     +0.03, 1.04        -0.00, 0.97       -0.01      -0.004
syst2016_bTaggingSF                              +0.03, 0.99        -0.00, 1.00       -0.01      -0.002
syst2016_JER                                     +0.02, 0.74     * +0.00, 0.83*     *-0.01*      -0.003
stat2018_sig_SRB5                                +0.00, 1.00        +0.00, 1.00       -0.01      -0.002
stat2018_otherSM_SRB2                            -0.02, 1.00        -0.00, 1.00       +0.01      +0.003
stat2018_fake_SRB8                               -0.05, 0.77     * -0.00, 0.79*     *-0.01*      -0.002
stat2018_fake_SRB6                               -0.02, 0.73     * -0.00, 0.72*     *+0.01*      +0.002
stat2018_fake_SRB4                               -0.03, 0.89     * -0.00, 0.89*     *+0.01*      +0.003
stat2018_TT_SRB7                                 -0.00, 0.99        +0.00, 0.99       +0.01      +0.001
stat2018_TT_SRB15                                +0.02, 1.01        +0.00, 1.00       -0.01      -0.003
stat2018_TT_SRB13                                +0.02, 1.00        -0.00, 1.00       -0.01      -0.002
stat2018_TT_SRB10                                +0.02, 1.00        +0.00, 1.00       -0.01      -0.002
stat2018_DY_SRB7                                 -0.00, 0.99        +0.00, 0.99       +0.01      +0.002
stat2018_DY_SRB1                                 -0.01, 0.98        -0.00, 0.98       +0.01      +0.001
stat2017_sig_SRB15                               +0.00, 1.00        +0.00, 1.00       -0.01      -0.004
